应用名称,类别,域名,IP,设备数,文件数,用户数,最近活动时间
"proxy 192.168.157.149:7890",'-,"commerce.safe.360.cn,a.safe.360.cn,tt.browser.360.cn,mini.360.cn,tile-service.weather.microsoft.com,info.pinyin.sogou.com,config.pinyin.sogou.com,d.skconf.f.360.cn,qup.f.360.cn,pconf.f.360.cn,wp.safe.360.cn,s.safe.360.cn,175.6.193.250,36.99.70.200,edgedl.me.gvt1.com,pan.baidu.com,ocsp.digicert.com,ctldl.windowsupdate.com,58.216.6.84,ocsp.digicert.cn,36.99.70.147,58.215.114.118,36.99.70.128,58.215.114.106,58.215.114.185,58.216.87.198,36.104.150.30,58.216.6.90,p.qpic.cn,thirdqq.qlogo.cn,thirdwx.qlogo.cn,58.215.114.252,www.test.com,ocsp.globalsign.com,qurl.f.360.cn",192.168.157.149:7890,3,2,2,"2022-09-20 14:07:08"
"http 192.168.157.106:3100",'-,192.168.157.106:3100,192.168.157.106:3100,1,0,1,"2022-09-20 11:14:46"
"http 192.168.157.106:3200",'-,192.168.157.106:3200,192.168.157.106:3200,1,0,1,"2022-09-20 11:44:52"
"http 192.168.157.106:6060",'-,192.168.157.106:6060,192.168.157.106:6060,1,0,1,"2022-09-20 11:17:23"
"http 192.168.157.168:8288",'-,192.168.157.168:8288,192.168.157.168:8288,1,0,1,"2022-09-20 11:13:15"
"http 192.168.157.168:9200",'-,192.168.157.168:9200,192.168.157.168:9200,1,0,1,"2022-09-20 11:14:47"
"http 192.168.160.4",'-,192.168.160.4,192.168.160.4:80,2,0,1,"2022-09-20 13:11:39"
"http 192.168.160.4:3910",'-,192.168.160.4:3910,192.168.160.4:3910,6,0,1,"2022-09-20 14:05:50"
"http 192.168.160.4:3911",'-,192.168.160.4:3911,192.168.160.4:3911,6,0,1,"2022-09-20 14:14:34"
"http 192.168.160.4:53048",'-,192.168.160.4:53048,192.168.160.4:53048,5,0,1,"2022-09-20 14:14:59"
oa,OA,"oa.test.com.cn,oa.test.cn,192.168.157.135,oa.holonet.cn,192.168.157.135:20020,oa.holonet.cn:20020,oa.holonet.cn:20030","192.168.157.135:80,192.168.157.135:20020,192.168.157.135:20030",1,5,1,"2022-09-20 14:06:19"
www.test.com,IT运维类,"www.test.com,192.168.157.162","192.168.157.162:80,192.168.157.162:443",1,2,1,"2022-09-20 13:13:46"
"http 192.168.160.1",'-,192.168.160.1,192.168.160.1:80,10,0,0,"2022-09-20 14:20:04"
